AIRLINE,SOURCE,DESTINATION,NEAREST_AIRPORT_SOURCE,NEAREST_AIRPORT_DESTINATION,IATA_SOURCE,IATA_DESTINATION,ROUTE,DEP_TIME,ARRIVAL_TIME,DURATION,TOTAL_STOPS,ADDITIONAL_INFO,PRICE,DIRECT_CONNECTING
Singapore Airlines,Singapore,Tokyo,Singapore Changi Airport,Tokyo Haneda Airport,SIN,HND,SIN -> HND,05:00:00.000,12:05:00.000,07:05,0,Business class,51840,Direct
All Nippon Airways,Singapore,Tokyo,Singapore Changi Airport,Tokyo Haneda Airport,SIN,HND,SIN -> HND,05:45:00.000,12:50:00.000,07:05,0,Business class,50650,Direct
Japan Airlines,Singapore,Tokyo,Singapore Changi Airport,Tokyo Haneda Airport,SIN,HND,SIN -> HND,06:30:00.000,13:35:00.000,07:05,0,Business class,50900,Direct
Scoot,Singapore,Tokyo,Singapore Changi Airport,Tokyo Haneda Airport,SIN,HND,SIN -> HND,07:15:00.000,14:20:00.000,07:05,0,In-flight meal not included,29550,Direct
ZIPAIR Tokyo,Singapore,Tokyo,Singapore Changi Airport,Tokyo Haneda Airport,SIN,HND,SIN -> HND,08:00:00.000,15:05:00.000,07:05,0,In-flight meal not included,35560,Direct
AirAsia X,Singapore,Tokyo,Singapore Changi Airport,Tokyo Haneda Airport,SIN,HND,SIN -> HND,08:45:00.000,19:00:00.000,10:15,1,1 Long layover,33890,Connecting
Singapore Airlines,Tokyo,Singapore,Tokyo Haneda Airport,Singapore Changi Airport,HND,SIN,HND -> SIN,05:37:00.000,12:42:00.000,07:05,0,Business class,51840,Direct
All Nippon Airways,Tokyo,Singapore,Tokyo Haneda Airport,Singapore Changi Airport,HND,SIN,HND -> SIN,06:22:00.000,13:27:00.000,07:05,0,Business class,50650,Direct
Japan Airlines,Tokyo,Singapore,Tokyo Haneda Airport,Singapore Changi Airport,HND,SIN,HND -> SIN,07:07:00.000,14:12:00.000,07:05,0,Business class,50900,Direct
Scoot,Tokyo,Singapore,Tokyo Haneda Airport,Singapore Changi Airport,HND,SIN,HND -> SIN,07:52:00.000,14:57:00.000,07:05,0,In-flight meal not included,29550,Direct
ZIPAIR Tokyo,Tokyo,Singapore,Tokyo Haneda Airport,Singapore Changi Airport,HND,SIN,HND -> SIN,08:37:00.000,15:42:00.000,07:05,0,In-flight meal not included,35560,Direct
AirAsia X,Tokyo,Singapore,Tokyo Haneda Airport,Singapore Changi Airport,HND,SIN,HND -> SIN,09:22:00.000,19:37:00.000,10:15,1,1 Long layover,33890,Connecting
Singapore Airlines,Singapore,Seoul,Singapore Changi Airport,Incheon International Airport,SIN,ICN,SIN -> ICN,06:14:00.000,12:44:00.000,06:30,0,Business class,39420,Direct
Korean Air,Singapore,Seoul,Singapore Changi Airport,Incheon International Airport,SIN,ICN,SIN -> ICN,06:59:00.000,13:29:00.000,06:30,0,Business class,37480,Direct
Asiana Airlines,Singapore,Seoul,Singapore Changi Airport,Incheon International Airport,SIN,ICN,SIN -> ICN,07:44:00.000,14:14:00.000,06:30,0,No info,34080,Direct
Scoot,Singapore,Seoul,Singapore Changi Airport,Incheon International Airport,SIN,ICN,SIN -> ICN,08:29:00.000,14:59:00.000,06:30,0,In-flight meal not included,22650,Direct
T'way Air,Singapore,Seoul,Singapore Changi Airport,Incheon International Airport,SIN,ICN,SIN -> ICN,09:14:00.000,15:44:00.000,06:30,0,In-flight meal not included,24360,Direct
AirAsia X,Singapore,Seoul,Singapore Changi Airport,Incheon International Airport,SIN,ICN,SIN -> ICN,09:59:00.000,19:39:00.000,09:40,1,1 Long layover,26070,Connecting
Singapore Airlines,Seoul,Singapore,Incheon International Airport,Singapore Changi Airport,ICN,SIN,ICN -> SIN,06:51:00.000,13:21:00.000,06:30,0,Business class,39420,Direct
Korean Air,Seoul,Singapore,Incheon International Airport,Singapore Changi Airport,ICN,SIN,ICN -> SIN,07:36:00.000,14:06:00.000,06:30,0,Business class,37480,Direct
Asiana Airlines,Seoul,Singapore,Incheon International Airport,Singapore Changi Airport,ICN,SIN,ICN -> SIN,08:21:00.000,14:51:00.000,06:30,0,No info,34080,Direct
Scoot,Seoul,Singapore,Incheon International Airport,Singapore Changi Airport,ICN,SIN,ICN -> SIN,09:06:00.000,15:36:00.000,06:30,0,In-flight meal not included,22650,Direct
T'way Air,Seoul,Singapore,Incheon International Airport,Singapore Changi Airport,ICN,SIN,ICN -> SIN,09:51:00.000,16:21:00.000,06:30,0,In-flight meal not included,24360,Direct
AirAsia X,Seoul,Singapore,Incheon International Airport,Singapore Changi Airport,ICN,SIN,ICN -> SIN,10:36:00.000,20:16:00.000,09:40,1,1 Long layover,26070,Connecting
Singapore Airlines,Singapore,Sydney,Singapore Changi Airport,Sydney Kingsford Smith Airport,SIN,SYD,SIN -> SYD,07:28:00.000,15:18:00.000,07:50,0,Business class,56160,Direct
Qantas Airways,Singapore,Sydney,Singapore Changi Airport,Sydney Kingsford Smith Airport,SIN,SYD,SIN -> SYD,08:13:00.000,16:03:00.000,07:50,0,Business class,52250,Direct
Virgin Australia,Singapore,Sydney,Singapore Changi Airport,Sydney Kingsford Smith Airport,SIN,SYD,SIN -> SYD,08:58:00.000,16:48:00.000,07:50,0,No info,47300,Direct
Jetstar Airways,Singapore,Sydney,Singapore Changi Airport,Sydney Kingsford Smith Airport,SIN,SYD,SIN -> SYD,09:43:00.000,17:33:00.000,07:50,0,In-flight meal not included,32990,Direct
Scoot,Singapore,Sydney,Singapore Changi Airport,Sydney Kingsford Smith Airport,SIN,SYD,SIN -> SYD,10:28:00.000,18:18:00.000,07:50,0,In-flight meal not included,32200,Direct
AirAsia X,Singapore,Sydney,Singapore Changi Airport,Sydney Kingsford Smith Airport,SIN,SYD,SIN -> SYD,11:13:00.000,22:13:00.000,11:00,1,1 Long layover,36610,Connecting
Singapore Airlines,Sydney,Singapore,Sydney Kingsford Smith Airport,Singapore Changi Airport,SYD,SIN,SYD -> SIN,08:05:00.000,15:55:00.000,07:50,0,Business class,56160,Direct
Qantas Airways,Sydney,Singapore,Sydney Kingsford Smith Airport,Singapore Changi Airport,SYD,SIN,SYD -> SIN,08:50:00.000,16:40:00.000,07:50,0,Business class,52250,Direct
Virgin Australia,Sydney,Singapore,Sydney Kingsford Smith Airport,Singapore Changi Airport,SYD,SIN,SYD -> SIN,09:35:00.000,17:25:00.000,07:50,0,No info,47300,Direct
Jetstar Airways,Sydney,Singapore,Sydney Kingsford Smith Airport,Singapore Changi Airport,SYD,SIN,SYD -> SIN,10:20:00.000,18:10:00.000,07:50,0,In-flight meal not included,32990,Direct
Scoot,Sydney,Singapore,Sydney Kingsford Smith Airport,Singapore Changi Airport,SYD,SIN,SYD -> SIN,11:05:00.000,18:55:00.000,07:50,0,In-flight meal not included,32200,Direct
AirAsia X,Sydney,Singapore,Sydney Kingsford Smith Airport,Singapore Changi Airport,SYD,SIN,SYD -> SIN,11:50:00.000,22:50:00.000,11:00,1,1 Long layover,36610,Connecting
Singapore Airlines,Singapore,Melbourne,Singapore Changi Airport,Melbourne Tullamarine Airport,SIN,MEL,SIN -> MEL,08:42:00.000,16:22:00.000,07:40,0,Business class,55080,Direct
Qantas Airways,Singapore,Melbourne,Singapore Changi Airport,Melbourne Tullamarine Airport,SIN,MEL,SIN -> MEL,09:27:00.000,17:07:00.000,07:40,0,Business class,51250,Direct
Virgin Australia,Singapore,Melbourne,Singapore Changi Airport,Melbourne Tullamarine Airport,SIN,MEL,SIN -> MEL,10:12:00.000,17:52:00.000,07:40,0,No info,46400,Direct
Jetstar Airways,Singapore,Melbourne,Singapore Changi Airport,Melbourne Tullamarine Airport,SIN,MEL,SIN -> MEL,10:57:00.000,18:37:00.000,07:40,0,In-flight meal not included,32370,Direct
Scoot,Singapore,Melbourne,Singapore Changi Airport,Melbourne Tullamarine Airport,SIN,MEL,SIN -> MEL,11:42:00.000,19:22:00.000,07:40,0,In-flight meal not included,31600,Direct
AirAsia X,Singapore,Melbourne,Singapore Changi Airport,Melbourne Tullamarine Airport,SIN,MEL,SIN -> MEL,12:27:00.000,23:17:00.000,10:50,1,1 Long layover,35930,Connecting
Singapore Airlines,Melbourne,Singapore,Melbourne Tullamarine Airport,Singapore Changi Airport,MEL,SIN,MEL -> SIN,09:19:00.000,16:59:00.000,07:40,0,Business class,55080,Direct
Qantas Airways,Melbourne,Singapore,Melbourne Tullamarine Airport,Singapore Changi Airport,MEL,SIN,MEL -> SIN,10:04:00.000,17:44:00.000,07:40,0,Business class,51250,Direct
Virgin Australia,Melbourne,Singapore,Melbourne Tullamarine Airport,Singapore Changi Airport,MEL,SIN,MEL -> SIN,10:49:00.000,18:29:00.000,07:40,0,No info,46400,Direct
Jetstar Airways,Melbourne,Singapore,Melbourne Tullamarine Airport,Singapore Changi Airport,MEL,SIN,MEL -> SIN,11:34:00.000,19:14:00.000,07:40,0,In-flight meal not included,32370,Direct
Scoot,Melbourne,Singapore,Melbourne Tullamarine Airport,Singapore Changi Airport,MEL,SIN,MEL -> SIN,12:19:00.000,19:59:00.000,07:40,0,In-flight meal not included,31600,Direct
AirAsia X,Melbourne,Singapore,Melbourne Tullamarine Airport,Singapore Changi Airport,MEL,SIN,MEL -> SIN,13:04:00.000,23:54:00.000,10:50,1,1 Long layover,35930,Connecting
Singapore Airlines,Singapore,Brisbane,Singapore Changi Airport,Brisbane Airport,SIN,BNE,SIN -> BNE,09:56:00.000,17:56:00.000,08:00,0,Business class,53460,Direct
Qantas Airways,Singapore,Brisbane,Singapore Changi Airport,Brisbane Airport,SIN,BNE,SIN -> BNE,10:41:00.000,18:41:00.000,08:00,0,Business class,49750,Direct
Virgin Australia,Singapore,Brisbane,Singapore Changi Airport,Brisbane Airport,SIN,BNE,SIN -> BNE,11:26:00.000,19:26:00.000,08:00,0,No info,45050,Direct
Jetstar Airways,Singapore,Brisbane,Singapore Changi Airport,Brisbane Airport,SIN,BNE,SIN -> BNE,12:11:00.000,20:11:00.000,08:00,0,In-flight meal not included,31440,Direct
Scoot,Singapore,Brisbane,Singapore Changi Airport,Brisbane Airport,SIN,BNE,SIN -> BNE,12:56:00.000,20:56:00.000,08:00,0,In-flight meal not included,30700,Direct
AirAsia X,Singapore,Brisbane,Singapore Changi Airport,Brisbane Airport,SIN,BNE,SIN -> BNE,13:41:00.000,00:51:00.000,11:10,1,1 Long layover,34910,Connecting
Singapore Airlines,Brisbane,Singapore,Brisbane Airport,Singapore Changi Airport,BNE,SIN,BNE -> SIN,10:33:00.000,18:33:00.000,08:00,0,Business class,53460,Direct
Qantas Airways,Brisbane,Singapore,Brisbane Airport,Singapore Changi Airport,BNE,SIN,BNE -> SIN,11:18:00.000,19:18:00.000,08:00,0,Business class,49750,Direct
Virgin Australia,Brisbane,Singapore,Brisbane Airport,Singapore Changi Airport,BNE,SIN,BNE -> SIN,12:03:00.000,20:03:00.000,08:00,0,No info,45050,Direct
Jetstar Airways,Brisbane,Singapore,Brisbane Airport,Singapore Changi Airport,BNE,SIN,BNE -> SIN,12:48:00.000,20:48:00.000,08:00,0,In-flight meal not included,31440,Direct
Scoot,Brisbane,Singapore,Brisbane Airport,Singapore Changi Airport,BNE,SIN,BNE -> SIN,13:33:00.000,21:33:00.000,08:00,0,In-flight meal not included,30700,Direct
AirAsia X,Brisbane,Singapore,Brisbane Airport,Singapore Changi Airport,BNE,SIN,BNE -> SIN,14:18:00.000,01:28:00.000,11:10,1,1 Long layover,34910,Connecting
Singapore Airlines,Singapore,Perth,Singapore Changi Airport,Perth Airport,SIN,PER,SIN -> PER,11:10:00.000,16:20:00.000,05:10,0,Business class,30780,Direct
Qantas Airways,Singapore,Perth,Singapore Changi Airport,Perth Airport,SIN,PER,SIN -> PER,11:55:00.000,17:05:00.000,05:10,0,Business class,28750,Direct
Virgin Australia,Singapore,Perth,Singapore Changi Airport,Perth Airport,SIN,PER,SIN -> PER,12:40:00.000,17:50:00.000,05:10,0,No info,26150,Direct
Jetstar Airways,Singapore,Perth,Singapore Changi Airport,Perth Airport,SIN,PER,SIN -> PER,13:25:00.000,18:35:00.000,05:10,0,In-flight meal not included,18420,Direct
Scoot,Singapore,Perth,Singapore Changi Airport,Perth Airport,SIN,PER,SIN -> PER,14:10:00.000,19:20:00.000,05:10,0,In-flight meal not included,18100,Direct
Singapore Airlines,Perth,Singapore,Perth Airport,Singapore Changi Airport,PER,SIN,PER -> SIN,11:47:00.000,16:57:00.000,05:10,0,Business class,30780,Direct
Qantas Airways,Perth,Singapore,Perth Airport,Singapore Changi Airport,PER,SIN,PER -> SIN,12:32:00.000,17:42:00.000,05:10,0,Business class,28750,Direct
Virgin Australia,Perth,Singapore,Perth Airport,Singapore Changi Airport,PER,SIN,PER -> SIN,13:17:00.000,18:27:00.000,05:10,0,No info,26150,Direct
Jetstar Airways,Perth,Singapore,Perth Airport,Singapore Changi Airport,PER,SIN,PER -> SIN,14:02:00.000,19:12:00.000,05:10,0,In-flight meal not included,18420,Direct
Scoot,Perth,Singapore,Perth Airport,Singapore Changi Airport,PER,SIN,PER -> SIN,14:47:00.000,19:57:00.000,05:10,0,In-flight meal not included,18100,Direct
Singapore Airlines,Singapore,Auckland,Singapore Changi Airport,Auckland Airport,SIN,AKL,SIN -> AKL,12:24:00.000,22:14:00.000,09:50,0,Business class,60480,Direct
Air New Zealand,Singapore,Auckland,Singapore Changi Airport,Auckland Airport,SIN,AKL,SIN -> AKL,13:09:00.000,22:59:00.000,09:50,0,Business class,56250,Direct
Qantas Airways,Singapore,Auckland,Singapore Changi Airport,Auckland Airport,SIN,AKL,SIN -> AKL,13:54:00.000,23:44:00.000,09:50,0,Business class,56500,Direct
Jetstar Airways,Singapore,Auckland,Singapore Changi Airport,Auckland Airport,SIN,AKL,SIN -> AKL,14:39:00.000,00:29:00.000,09:50,0,In-flight meal not included,35470,Direct
Scoot,Singapore,Auckland,Singapore Changi Airport,Auckland Airport,SIN,AKL,SIN -> AKL,15:24:00.000,01:14:00.000,09:50,0,In-flight meal not included,34600,Direct
Singapore Airlines,Auckland,Singapore,Auckland Airport,Singapore Changi Airport,AKL,SIN,AKL -> SIN,13:01:00.000,22:51:00.000,09:50,0,Business class,60480,Direct
Air New Zealand,Auckland,Singapore,Auckland Airport,Singapore Changi Airport,AKL,SIN,AKL -> SIN,13:46:00.000,23:36:00.000,09:50,0,Business class,56250,Direct
Qantas Airways,Auckland,Singapore,Auckland Airport,Singapore Changi Airport,AKL,SIN,AKL -> SIN,14:31:00.000,00:21:00.000,09:50,0,Business class,56500,Direct
Jetstar Airways,Auckland,Singapore,Auckland Airport,Singapore Changi Airport,AKL,SIN,AKL -> SIN,15:16:00.000,01:06:00.000,09:50,0,In-flight meal not included,35470,Direct
Scoot,Auckland,Singapore,Auckland Airport,Singapore Changi Airport,AKL,SIN,AKL -> SIN,16:01:00.000,01:51:00.000,09:50,0,In-flight meal not included,34600,Direct
Singapore Airlines,Singapore,Osaka,Singapore Changi Airport,Kansai International Airport,SIN,KIX,SIN -> KIX,13:38:00.000,20:13:00.000,06:35,0,Business class,45360,Direct
All Nippon Airways,Singapore,Osaka,Singapore Changi Airport,Kansai International Airport,SIN,KIX,SIN -> KIX,14:23:00.000,20:58:00.000,06:35,0,Business class,44350,Direct
Japan Airlines,Singapore,Osaka,Singapore Changi Airport,Kansai International Airport,SIN,KIX,SIN -> KIX,15:08:00.000,21:43:00.000,06:35,0,Business class,44600,Direct
Scoot,Singapore,Osaka,Singapore Changi Airport,Kansai International Airport,SIN,KIX,SIN -> KIX,15:53:00.000,22:28:00.000,06:35,0,In-flight meal not included,25950,Direct
Peach Aviation,Singapore,Osaka,Singapore Changi Airport,Kansai International Airport,SIN,KIX,SIN -> KIX,16:38:00.000,23:13:00.000,06:35,0,No info,28720,Direct
ZIPAIR Tokyo,Singapore,Osaka,Singapore Changi Airport,Kansai International Airport,SIN,KIX,SIN -> KIX,17:23:00.000,23:58:00.000,06:35,0,In-flight meal not included,31490,Direct
Singapore Airlines,Osaka,Singapore,Kansai International Airport,Singapore Changi Airport,KIX,SIN,KIX -> SIN,14:15:00.000,20:50:00.000,06:35,0,Business class,45360,Direct
All Nippon Airways,Osaka,Singapore,Kansai International Airport,Singapore Changi Airport,KIX,SIN,KIX -> SIN,15:00:00.000,21:35:00.000,06:35,0,Business class,44350,Direct
Japan Airlines,Osaka,Singapore,Kansai International Airport,Singapore Changi Airport,KIX,SIN,KIX -> SIN,15:45:00.000,22:20:00.000,06:35,0,Business class,44600,Direct
Scoot,Osaka,Singapore,Kansai International Airport,Singapore Changi Airport,KIX,SIN,KIX -> SIN,16:30:00.000,23:05:00.000,06:35,0,In-flight meal not included,25950,Direct
Peach Aviation,Osaka,Singapore,Kansai International Airport,Singapore Changi Airport,KIX,SIN,KIX -> SIN,17:15:00.000,23:50:00.000,06:35,0,No info,28720,Direct
ZIPAIR Tokyo,Osaka,Singapore,Kansai International Airport,Singapore Changi Airport,KIX,SIN,KIX -> SIN,18:00:00.000,00:35:00.000,06:35,0,In-flight meal not included,31490,Direct
Singapore Airlines,Singapore,Hong Kong,Singapore Changi Airport,Hong Kong International Airport,SIN,HKG,SIN -> HKG,14:52:00.000,18:47:00.000,03:55,0,Business class,25920,Direct
Cathay Pacific,Singapore,Hong Kong,Singapore Changi Airport,Hong Kong International Airport,SIN,HKG,SIN -> HKG,15:37:00.000,19:32:00.000,03:55,0,Business class,24250,Direct
HK Express,Singapore,Hong Kong,Singapore Changi Airport,Hong Kong International Airport,SIN,HKG,SIN -> HKG,16:22:00.000,20:17:00.000,03:55,0,No info,16100,Direct
Scoot,Singapore,Hong Kong,Singapore Changi Airport,Hong Kong International Airport,SIN,HKG,SIN -> HKG,17:07:00.000,21:02:00.000,03:55,0,In-flight meal not included,15150,Direct
Jetstar Asia,Singapore,Hong Kong,Singapore Changi Airport,Hong Kong International Airport,SIN,HKG,SIN -> HKG,17:52:00.000,21:47:00.000,03:55,0,In-flight meal not included,14919,Direct
Hong Kong Airlines,Singapore,Hong Kong,Singapore Changi Airport,Hong Kong International Airport,SIN,HKG,SIN -> HKG,18:37:00.000,22:32:00.000,03:55,0,No info,19970,Direct
Singapore Airlines,Hong Kong,Singapore,Hong Kong International Airport,Singapore Changi Airport,HKG,SIN,HKG -> SIN,15:29:00.000,19:24:00.000,03:55,0,Business class,25920,Direct
Cathay Pacific,Hong Kong,Singapore,Hong Kong International Airport,Singapore Changi Airport,HKG,SIN,HKG -> SIN,16:14:00.000,20:09:00.000,03:55,0,Business class,24250,Direct
HK Express,Hong Kong,Singapore,Hong Kong International Airport,Singapore Changi Airport,HKG,SIN,HKG -> SIN,16:59:00.000,20:54:00.000,03:55,0,No info,16100,Direct
Scoot,Hong Kong,Singapore,Hong Kong International Airport,Singapore Changi Airport,HKG,SIN,HKG -> SIN,17:44:00.000,21:39:00.000,03:55,0,In-flight meal not included,15150,Direct
Jetstar Asia,Hong Kong,Singapore,Hong Kong International Airport,Singapore Changi Airport,HKG,SIN,HKG -> SIN,18:29:00.000,22:24:00.000,03:55,0,In-flight meal not included,14919,Direct
Hong Kong Airlines,Hong Kong,Singapore,Hong Kong International Airport,Singapore Changi Airport,HKG,SIN,HKG -> SIN,19:14:00.000,23:09:00.000,03:55,0,No info,19970,Direct
Singapore Airlines,Singapore,Bangkok,Singapore Changi Airport,Suvarnabhumi Airport,SIN,BKK,SIN -> BKK,16:06:00.000,18:26:00.000,02:20,0,Business class,10260,Direct
Thai Airways,Singapore,Bangkok,Singapore Changi Airport,Suvarnabhumi Airport,SIN,BKK,SIN -> BKK,16:51:00.000,19:11:00.000,02:20,0,Business class,9180,Direct
Thai AirAsia X,Singapore,Bangkok,Singapore Changi Airport,Suvarnabhumi Airport,SIN,BKK,SIN -> BKK,17:36:00.000,22:46:00.000,05:10,1,In-flight meal not included,6200,Connecting
Scoot,Singapore,Bangkok,Singapore Changi Airport,Suvarnabhumi Airport,SIN,BKK,SIN -> BKK,18:21:00.000,20:41:00.000,02:20,0,In-flight meal not included,6450,Direct
AirAsia,Singapore,Bangkok,Singapore Changi Airport,Suvarnabhumi Airport,SIN,BKK,SIN -> BKK,19:06:00.000,21:26:00.000,02:20,0,In-flight meal not included,6225,Direct
VietJet Air,Singapore,Bangkok,Singapore Changi Airport,Suvarnabhumi Airport,SIN,BKK,SIN -> BKK,19:51:00.000,22:11:00.000,02:20,0,In-flight meal not included,6664,Direct
Singapore Airlines,Bangkok,Singapore,Suvarnabhumi Airport,Singapore Changi Airport,BKK,SIN,BKK -> SIN,16:43:00.000,19:03:00.000,02:20,0,Business class,10260,Direct
Thai Airways,Bangkok,Singapore,Suvarnabhumi Airport,Singapore Changi Airport,BKK,SIN,BKK -> SIN,17:28:00.000,19:48:00.000,02:20,0,Business class,9180,Direct
Thai AirAsia X,Bangkok,Singapore,Suvarnabhumi Airport,Singapore Changi Airport,BKK,SIN,BKK -> SIN,18:13:00.000,23:23:00.000,05:10,1,In-flight meal not included,6200,Connecting
Scoot,Bangkok,Singapore,Suvarnabhumi Airport,Singapore Changi Airport,BKK,SIN,BKK -> SIN,18:58:00.000,21:18:00.000,02:20,0,In-flight meal not included,6450,Direct
AirAsia,Bangkok,Singapore,Suvarnabhumi Airport,Singapore Changi Airport,BKK,SIN,BKK -> SIN,19:43:00.000,22:03:00.000,02:20,0,In-flight meal not included,6225,Direct
VietJet Air,Bangkok,Singapore,Suvarnabhumi Airport,Singapore Changi Airport,BKK,SIN,BKK -> SIN,20:28:00.000,22:48:00.000,02:20,0,In-flight meal not included,6664,Direct
Singapore Airlines,Singapore,Kuala Lumpur,Singapore Changi Airport,Kuala Lumpur International Airport,SIN,KUL,SIN -> KUL,17:20:00.000,18:25:00.000,01:05,0,Business class,4320,Direct
Malaysia Airlines,Singapore,Kuala Lumpur,Singapore Changi Airport,Kuala Lumpur International Airport,SIN,KUL,SIN -> KUL,18:05:00.000,19:10:00.000,01:05,0,No info,3690,Direct
AirAsia,Singapore,Kuala Lumpur,Singapore Changi Airport,Kuala Lumpur International Airport,SIN,KUL,SIN -> KUL,18:50:00.000,19:55:00.000,01:05,0,In-flight meal not included,2700,Direct
Scoot,Singapore,Kuala Lumpur,Singapore Changi Airport,Kuala Lumpur International Airport,SIN,KUL,SIN -> KUL,19:35:00.000,20:40:00.000,01:05,0,In-flight meal not included,3150,Direct
Batik Air,Singapore,Kuala Lumpur,Singapore Changi Airport,Kuala Lumpur International Airport,SIN,KUL,SIN -> KUL,20:20:00.000,21:25:00.000,01:05,0,No info,4200,Direct
Singapore Airlines,Kuala Lumpur,Singapore,Kuala Lumpur International Airport,Singapore Changi Airport,KUL,SIN,KUL -> SIN,17:57:00.000,19:02:00.000,01:05,0,Business class,4320,Direct
Malaysia Airlines,Kuala Lumpur,Singapore,Kuala Lumpur International Airport,Singapore Changi Airport,KUL,SIN,KUL -> SIN,18:42:00.000,19:47:00.000,01:05,0,No info,3690,Direct
AirAsia,Kuala Lumpur,Singapore,Kuala Lumpur International Airport,Singapore Changi Airport,KUL,SIN,KUL -> SIN,19:27:00.000,20:32:00.000,01:05,0,In-flight meal not included,2700,Direct
Scoot,Kuala Lumpur,Singapore,Kuala Lumpur International Airport,Singapore Changi Airport,KUL,SIN,KUL -> SIN,20:12:00.000,21:17:00.000,01:05,0,In-flight meal not included,3150,Direct
Batik Air,Kuala Lumpur,Singapore,Kuala Lumpur International Airport,Singapore Changi Airport,KUL,SIN,KUL -> SIN,20:57:00.000,22:02:00.000,01:05,0,No info,4200,Direct
Singapore Airlines,Singapore,Jakarta,Singapore Changi Airport,Soekarno-Hatta International Airport,SIN,CGK,SIN -> CGK,18:34:00.000,20:29:00.000,01:55,0,Business class,16200,Direct
Garuda Indonesia,Singapore,Jakarta,Singapore Changi Airport,Soekarno-Hatta International Airport,SIN,CGK,SIN -> CGK,19:19:00.000,21:14:00.000,01:55,0,Business class,14050,Direct
Batik Air,Singapore,Jakarta,Singapore Changi Airport,Soekarno-Hatta International Airport,SIN,CGK,SIN -> CGK,20:04:00.000,21:59:00.000,01:55,0,No info,12500,Direct
Scoot,Singapore,Jakarta,Singapore Changi Airport,Soekarno-Hatta International Airport,SIN,CGK,SIN -> CGK,20:49:00.000,22:44:00.000,01:55,0,In-flight meal not included,9750,Direct
AirAsia,Singapore,Jakarta,Singapore Changi Airport,Soekarno-Hatta International Airport,SIN,CGK,SIN -> CGK,21:34:00.000,23:29:00.000,01:55,0,In-flight meal not included,9250,Direct
Singapore Airlines,Jakarta,Singapore,Soekarno-Hatta International Airport,Singapore Changi Airport,CGK,SIN,CGK -> SIN,19:11:00.000,21:06:00.000,01:55,0,Business class,16200,Direct
Garuda Indonesia,Jakarta,Singapore,Soekarno-Hatta International Airport,Singapore Changi Airport,CGK,SIN,CGK -> SIN,19:56:00.000,21:51:00.000,01:55,0,Business class,14050,Direct
Batik Air,Jakarta,Singapore,Soekarno-Hatta International Airport,Singapore Changi Airport,CGK,SIN,CGK -> SIN,20:41:00.000,22:36:00.000,01:55,0,No info,12500,Direct
Scoot,Jakarta,Singapore,Soekarno-Hatta International Airport,Singapore Changi Airport,CGK,SIN,CGK -> SIN,21:26:00.000,23:21:00.000,01:55,0,In-flight meal not included,9750,Direct
AirAsia,Jakarta,Singapore,Soekarno-Hatta International Airport,Singapore Changi Airport,CGK,SIN,CGK -> SIN,22:11:00.000,00:06:00.000,01:55,0,In-flight meal not included,9250,Direct
Singapore Airlines,Singapore,Manila,Singapore Changi Airport,Ninoy Aquino International Airport,SIN,MNL,SIN -> MNL,19:48:00.000,23:33:00.000,03:45,0,Business class,23760,Direct
Philippine Airlines,Singapore,Manila,Singapore Changi Airport,Ninoy Aquino International Airport,SIN,MNL,SIN -> MNL,20:33:00.000,00:18:00.000,03:45,0,Business class,19610,Direct
Cebu Pacific,Singapore,Manila,Singapore Changi Airport,Ninoy Aquino International Airport,SIN,MNL,SIN -> MNL,21:18:00.000,01:03:00.000,03:45,0,In-flight meal not included,12600,Direct
Scoot,Singapore,Manila,Singapore Changi Airport,Ninoy Aquino International Airport,SIN,MNL,SIN -> MNL,22:03:00.000,01:48:00.000,03:45,0,In-flight meal not included,13950,Direct
Jetstar Asia,Singapore,Manila,Singapore Changi Airport,Ninoy Aquino International Airport,SIN,MNL,SIN -> MNL,22:48:00.000,02:33:00.000,03:45,0,In-flight meal not included,13760,Direct
Singapore Airlines,Manila,Singapore,Ninoy Aquino International Airport,Singapore Changi Airport,MNL,SIN,MNL -> SIN,20:25:00.000,00:10:00.000,03:45,0,Business class,23760,Direct
Philippine Airlines,Manila,Singapore,Ninoy Aquino International Airport,Singapore Changi Airport,MNL,SIN,MNL -> SIN,21:10:00.000,00:55:00.000,03:45,0,Business class,19610,Direct
Cebu Pacific,Manila,Singapore,Ninoy Aquino International Airport,Singapore Changi Airport,MNL,SIN,MNL -> SIN,21:55:00.000,01:40:00.000,03:45,0,In-flight meal not included,12600,Direct
Scoot,Manila,Singapore,Ninoy Aquino International Airport,Singapore Changi Airport,MNL,SIN,MNL -> SIN,22:40:00.000,02:25:00.000,03:45,0,In-flight meal not included,13950,Direct
