HOTEL_NAME,HOTEL_RATING,CITY,HOTEL_TYPE,BREAKFAST_INCLUDED,WIFI_INCLUDED,PARKING_INCLUDED,FACILITY_1,FACILITY_2,FACILITY_3,FACILITY_4,FACILITY_5,HOTEL_PRICE
Marina Bay Sands,4.7,Singapore,Luxury resort,Breakfast available,Free Wi-Fi,Paid parking,Infinity pool,SkyPark,Spa,Fitness center,Observation deck,720
Raffles Singapore,4.8,Singapore,5-star heritage hotel,Free breakfast,Free Wi-Fi,Valet parking,Butler service,Spa,Courtyard pool,Fine dining,Heritage tours,890
The Fullerton Hotel Singapore,4.6,Singapore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Infinity pool,Riverfront bar,Spa,Fitness center,Heritage gallery,430
Shangri-La Singapore,4.7,Singapore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Lush gardens,Spa,Family pool,Fitness center,Playground,420
The Clan Hotel Singapore,4.5,Singapore,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Sky pool,Tea ceremony,Fitness center,City views,Restaurant,310
lyf Funan Singapore,4.4,Singapore,Serviced residence,Breakfast available,Free Wi-Fi,Paid parking,Co-working lounge,Community kitchen,Laundry lab,Fitness zone,Rooftop garden,180
Mandarin Oriental Kuala Lumpur,4.7,Kuala Lumpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Infinity pool,Spa,Tennis courts,Fitness center,City skyline bar,520
Grand Hyatt Kuala Lumpur,4.6,Kuala Lumpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Sky lobby,Outdoor pool,Spa,Fitness center,Event spaces,410
EQ Kuala Lumpur,4.8,Kuala Lumpur,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Sky51 bar,Infinity pool,Spa,Fitness center,Sauna,360
The St. Regis Kuala Lumpur,4.7,Kuala Lumpur,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Butler service,Spa,Pilates studio,Art collection,Champagne bar,540
Traders Hotel Kuala Lumpur,4.5,Kuala Lumpur,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,SkyBar,Shuttle to KLCC,Pool,Fitness center,Meeting rooms,260
Aloft Kuala Lumpur Sentral,4.4,Kuala Lumpur,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Rooftop pool,Live music,W XYZ bar,Game room,24/7 pantry,190
Mandarin Oriental Bangkok,4.8,Bangkok,Luxury riverside hotel,Free breakfast,Free Wi-Fi,Free parking,Riverside pool,Spa,Cooking school,Tennis,Authors' lounge,680
The Siam Hotel,4.7,Bangkok,Boutique resort,Free breakfast,Free Wi-Fi,Free parking,Private pool villas,Spa,Muay Thai ring,River shuttle,Art deco bar,590
Park Hyatt Bangkok,4.6,Bangkok,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop garden,Saltwater pool,Spa,Fitness center,Chef's table,420
Anantara Riverside Bangkok Resort,4.6,Bangkok,Riverside resort,Free breakfast,Free Wi-Fi,Free parking,River ferry,Lagoon pool,Spa,Tennis courts,Cultural shows,280
SO/ Bangkok,4.5,Bangkok,Design hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,HI-SO rooftop,Spa,Fitness center,Co-working,260
Eastin Grand Hotel Sathorn,4.5,Bangkok,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Sky walk access,Infinity pool,Executive lounge,Fitness center,Event halls,210
Hotel Indonesia Kempinski,4.6,Jakarta,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Sky pool,Spa,Fitness center,Shopping mall access,Executive lounge,310
The Dharmawangsa Jakarta,4.7,Jakarta,Luxury hotel,Free breakfast,Free Wi-Fi,Free parking,Olympic pool,Tennis courts,Spa,Library,Tea lounge,330
Fairmont Jakarta,4.6,Jakarta,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Sky dining,Spa,Fitness center,Pool,Butler service,300
Mandarin Oriental Jakarta,4.6,Jakarta,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop pool,Spa,Fitness center,Event spaces,City views,280
The Ritz-Carlton Jakarta Pacific Place,4.7,Jakarta,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Club lounge,Spa,Outdoor pool,Business center,Ballroom,360
Alila SCBD Jakarta,4.5,Jakarta,Lifestyle hotel,Breakfast available,Free Wi-Fi,Paid parking,ROCA bistro,Infinity pool,Fitness center,Art program,Meeting rooms,240
The St. Regis Bali Resort,4.8,Bali,Luxury resort,Free breakfast,Free Wi-Fi,Free parking,Private beach,Butler service,Spa,Lagoon pool,Cultural shows,720
Four Seasons Resort Bali at Sayan,4.9,Bali,Jungle resort,Free breakfast,Free Wi-Fi,Free parking,Riverside villas,Spa,Yoga bale,Cooking school,Rice terrace walks,690
AYANA Resort Bali,4.7,Bali,Clifftop resort,Free breakfast,Free Wi-Fi,Free parking,Rock Bar,Multiple pools,Spa,Private beach,Golf putting,420
Alila Villas Uluwatu,4.8,Bali,Luxury resort,Free breakfast,Free Wi-Fi,Free parking,Clifftop cabanas,Spa,Infinity pool,Yoga pavilion,Fine dining,640
COMO Uma Canggu,4.6,Bali,Lifestyle resort,Breakfast available,Free Wi-Fi,Free parking,Surf concierge,Beach club,Spa,Fitness center,Pilates studio,310
Potato Head Studios,4.5,Bali,Beach resort,Breakfast available,Free Wi-Fi,Free parking,Zero-waste lab,Beachfront pool,Sound studio,Spa,Creative hub,280
Shangri-La The Fort Manila,4.7,Manila,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,BGC views,Spa,Basketball club,Skypool,Coworking,320
Raffles Makati,4.8,Manila,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Butler service,Writers Bar,Spa,Outdoor pool,Fitness center,360
Fairmont Makati,4.6,Manila,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Willow Stream Spa,Pool,Fitness center,Executive lounge,Ballroom,270
Sofitel Philippine Plaza Manila,4.5,Manila,Resort hotel,Breakfast available,Free Wi-Fi,Free parking,Lagoon pool,Le Spa,Sunset Bar,Tennis courts,Playground,220
Discovery Primea,4.7,Manila,Luxury hotel,Free breakfast,Free Wi-Fi,Valet parking,Infinity pool,Spa,Fine dining,Fitness center,Sky bar,300
